Model,Seed,train_acc,val_acc,test_acc,f1,kappa,recall,precision
SVM,42,100.0,100.0,100.0,100.0,100.0,100.0,100.0
SVM,7,100.0,100.0,100.0,100.0,100.0,100.0,100.0
SVM,21,100.0,100.0,100.0,100.0,100.0,100.0,100.0
SVM,99,100.0,100.0,100.0,100.0,100.0,100.0,100.0
SVM,123,100.0,100.0,100.0,100.0,100.0,100.0,100.0
Random Forest,42,100.0,100.0,100.0,100.0,100.0,100.0,100.0
Random Forest,7,100.0,100.0,100.0,100.0,100.0,100.0,100.0
Random Forest,21,100.0,100.0,100.0,100.0,100.0,100.0,100.0
Random Forest,99,100.0,100.0,100.0,100.0,100.0,100.0,100.0
Random Forest,123,100.0,100.0,100.0,100.0,100.0,100.0,100.0
AdaBoost,42,100.0,100.0,100.0,100.0,100.0,100.0,100.0
AdaBoost,7,100.0,100.0,100.0,100.0,100.0,100.0,100.0
AdaBoost,21,100.0,100.0,100.0,100.0,100.0,100.0,100.0
AdaBoost,99,100.0,100.0,100.0,100.0,100.0,100.0,100.0
AdaBoost,123,100.0,100.0,100.0,100.0,100.0,100.0,100.0
KNN,42,100.0,100.0,100.0,100.0,100.0,100.0,100.0
KNN,7,100.0,100.0,100.0,100.0,100.0,100.0,100.0
KNN,21,100.0,100.0,100.0,100.0,100.0,100.0,100.0
KNN,99,100.0,100.0,100.0,100.0,100.0,100.0,100.0
KNN,123,100.0,100.0,100.0,100.0,100.0,100.0,100.0
Bagging,42,100.0,100.0,98.31,98.31,96.6,98.31,98.31
Bagging,7,100.0,96.61,99.15,99.15,98.3,99.15,99.17
Bagging,21,100.0,100.0,100.0,100.0,100.0,100.0,100.0
Bagging,99,100.0,99.15,98.31,98.31,96.6,98.31,98.31
Bagging,123,100.0,99.15,99.15,99.15,98.3,99.15,99.17
ANN,42,100.0,100.0,100.0,100.0,100.0,100.0,100.0
ANN,7,100.0,100.0,100.0,100.0,100.0,100.0,100.0
ANN,21,100.0,100.0,100.0,100.0,100.0,100.0,100.0
ANN,99,100.0,100.0,100.0,100.0,100.0,100.0,100.0
ANN,123,100.0,100.0,100.0,100.0,100.0,100.0,100.0
LSTM,42,100.0,100.0,100.0,100.0,100.0,100.0,100.0
LSTM,7,100.0,100.0,100.0,100.0,100.0,100.0,100.0
LSTM,21,100.0,100.0,100.0,100.0,100.0,100.0,100.0
LSTM,99,100.0,100.0,100.0,100.0,100.0,100.0,100.0
LSTM,123,100.0,100.0,100.0,100.0,100.0,100.0,100.0
Bi-LSTM,42,100.0,100.0,100.0,100.0,100.0,100.0,100.0
Bi-LSTM,7,100.0,100.0,100.0,100.0,100.0,100.0,100.0
Bi-LSTM,21,100.0,100.0,100.0,100.0,100.0,100.0,100.0
Bi-LSTM,99,100.0,100.0,100.0,100.0,100.0,100.0,100.0
Bi-LSTM,123,100.0,99.15,100.0,100.0,100.0,100.0,100.0
