arm,seed,n_train,n_test,val_acc,test_acc,f1,kappa
A raw+random,42,943,118,1.0,1.0,1.0,1.0
A raw+random,7,943,118,1.0,1.0,1.0,1.0
A raw+random,21,943,118,1.0,1.0,1.0,1.0
A raw+random,99,943,118,1.0,1.0,1.0,1.0
A raw+random,123,943,118,1.0,1.0,1.0,1.0
B norm+random,42,943,118,1.0,1.0,1.0,1.0
B norm+random,7,943,118,1.0,1.0,1.0,1.0
B norm+random,21,943,118,1.0,1.0,1.0,1.0
B norm+random,99,943,118,1.0,1.0,1.0,1.0
B norm+random,123,943,118,1.0,1.0,1.0,1.0
C raw+group,42,925,126,1.0,1.0,1.0,1.0
C raw+group,7,927,108,1.0,1.0,1.0,1.0
C raw+group,21,933,114,1.0,1.0,1.0,1.0
C raw+group,99,970,97,1.0,1.0,1.0,1.0
C raw+group,123,933,123,1.0,1.0,1.0,1.0
D norm+group,42,925,126,1.0,1.0,1.0,1.0
D norm+group,7,927,108,1.0,1.0,1.0,1.0
D norm+group,21,933,114,1.0,1.0,1.0,1.0
D norm+group,99,970,97,1.0,1.0,1.0,1.0
D norm+group,123,933,123,1.0,1.0,1.0,1.0
