arm,seed,n_test,test_acc,f1,kappa
FULL,42,126,1.0,1.0,1.0
FULL,7,108,1.0,1.0,1.0
FULL,21,114,0.9912280701754386,0.9911504424778761,0.9824561403508771
FULL,99,97,1.0,1.0,1.0
FULL,123,123,1.0,1.0,1.0
BORDER,42,126,1.0,1.0,1.0
BORDER,7,108,0.9907407407407407,0.991869918699187,0.9811188811188811
BORDER,21,114,1.0,1.0,1.0
BORDER,99,97,1.0,1.0,1.0
BORDER,123,123,1.0,1.0,1.0
CENTRE,42,126,1.0,1.0,1.0
CENTRE,7,108,1.0,1.0,1.0
CENTRE,21,114,1.0,1.0,1.0
CENTRE,99,97,1.0,1.0,1.0
CENTRE,123,123,0.9349593495934959,0.9420289855072463,0.8685195082843399
TINY8,42,126,1.0,1.0,1.0
TINY8,7,108,1.0,1.0,1.0
TINY8,21,114,0.9912280701754386,0.9911504424778761,0.9824561403508771
TINY8,99,97,1.0,1.0,1.0
TINY8,123,123,1.0,1.0,1.0
